Algorithm,Log Source,Log,Window Sizes,Alpha,Min Required Windows,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise15_1000_cd,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:11,11.821848121006042,0.011821848121006041
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise20_1000_sw,100 200 300 400 500 600,0.5,100 200 300,2,[442],[499],1.0,57.0,00:00:17,17.680050581984688,0.01768005058198469
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise0_1000_cb,100 200 300 400 500 600,0.5,100 200 300,2,[448],[499],1.0,51.0,00:00:21,21.483108391985297,0.021483108391985296
Earth Mover's Distance Multi Window,Ostovar,Nested_IRO_output_IRO,100 200 300 400 500 600,0.5,100 200 300,2,"[940, 1916]","[999, 1999]",1.0,71.0,07:44:19,27859.435078551993,9.289574884478824
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise10_1000_IRO,100 200 300 400 500 600,0.5,100 200 300,2,[448],[499],1.0,51.0,00:03:50,230.74552512698574,0.23074552512698573
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise15_1000_RIO,100 200 300 400 500 600,0.5,100 200 300,2,[440],[499],1.0,59.0,00:00:17,17.207614893995924,0.017207614893995925
Earth Mover's Distance Multi Window,Ostovar,Composite_IOR_output_IOR_2,100 200 300 400 500 600,0.5,100 200 300,2,"[938, 1934]","[999, 1999]",1.0,63.0,06:32:32,23552.355523453007,7.853402975476161
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise15_1000_pl,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:11,11.14568448299542,0.011145684482995421
Earth Mover's Distance Multi Window,Ostovar,Atomic_Skip_output_Skip_2,100 200 300 400 500 600,0.5,100 200 300,2,"[964, 1950]","[999, 1999]",1.0,42.0,02:48:34,10114.116150312999,3.3724962155095026
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise15_1000_ROI,100 200 300 400 500 600,0.5,100 200 300,2,[478],[499],1.0,21.0,00:00:28,28.226769105996937,0.028226769105996936
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise15_1000_cf,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:01:04,64.38965007400839,0.06438965007400839
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise10_1000_pm,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:13,13.542996613017749,0.01354299661301775
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise20_1000_lp,100 200 300 400 500 600,0.5,100 200 300,2,[454],[499],1.0,45.0,00:00:45,45.49970830400707,0.04549970830400707
Earth Mover's Distance Multi Window,Ostovar,Atomic_SerialMove_output_SerialMove,100 200 300 400 500 600,0.5,100 200 300,2,"[950, 1950]","[999, 1999]",1.0,49.0,05:20:00,19200.943423913996,6.402448624179391
Earth Mover's Distance Multi Window,Ostovar,Atomic_Substitute_output_Substitute_5,100 200 300 400 500 600,0.5,100 200 300,2,"[938, 1938]","[999, 1999]",1.0,61.0,02:51:35,10295.951744144026,3.4331282908116125
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise10_1000_cb,100 200 300 400 500 600,0.5,100 200 300,2,[452],[499],1.0,47.0,00:00:21,21.18086251799832,0.02118086251799832
Earth Mover's Distance Multi Window,Ostovar,Nested_IRO_output_IRO_2,100 200 300 400 500 600,0.5,100 200 300,2,"[940, 1916]","[999, 1999]",1.0,71.0,05:06:27,18387.166597587,6.13109923227309
Earth Mover's Distance Multi Window,Ostovar,Nested_ROI_output_ROI,100 200 300 400 500 600,0.5,100 200 300,2,"[1938, 954]","[999, 1999]",1.0,53.0,02:48:45,10125.765464649012,3.376380615088033
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise0_1000_IOR,100 200 300 400 500 600,0.5,100 200 300,2,[448],[499],1.0,51.0,00:00:13,13.569994039979065,0.013569994039979065
Earth Mover's Distance Multi Window,Ostovar,Nested_IOR_output_IOR,100 200 300 400 500 600,0.5,100 200 300,2,"[924, 1914]","[999, 1999]",1.0,80.0,07:43:04,27784.578176066978,9.264614263443473
Earth Mover's Distance Multi Window,Ostovar,Nested_OIR_output_OIR_5,100 200 300 400 500 600,0.5,100 200 300,2,"[952, 1926]","[999, 1999]",1.0,60.0,04:42:37,16957.942762245017,5.6545324315588585
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise0_1000_cd,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:05,5.637880003021564,0.005637880003021564
Earth Mover's Distance Multi Window,Ostovar,Composite_ROI_output_ROI,100 200 300 400 500 600,0.5,100 200 300,2,"[950, 1940]","[999, 1999]",1.0,54.0,03:00:36,10836.765202134993,3.6134595538962966
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise0_1000_OIR,100 200 300 400 500 600,0.5,100 200 300,2,[446],[499],1.0,53.0,00:00:49,49.58984224600135,0.04958984224600135
